Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2015-04-01,114,233,131,4588,110
2015-04-02,143,255,121,4575,134
2015-04-03,129,233,151,4548,178
2015-04-04,130,273,90,4564,74
2015-04-05,106,267,112,4584,92
2015-04-06,101,221,147,4585,146
2015-04-07,99,177,143,4575,153
2015-04-08,155,241,91,4547,119
2015-04-09,157,259,139,4526,160
2015-04-10,118,238,139,4529,136
2015-04-11,97,254,81,4544,66
2015-04-12,128,292,90,4568,66
2015-04-13,102,231,163,4597,134
2015-04-14,106,209,128,4596,129
2015-04-15,133,255,87,4565,118
2015-04-16,114,209,160,4609,116
2015-04-17,121,218,112,4614,107
2015-04-18,100,230,88,4636,66
2015-04-19,108,249,89,4662,63
2015-04-20,150,269,130,4661,131
2015-04-21,123,228,164,4681,144
2015-04-22,133,227,134,4700,115
2015-04-23,89,174,142,4724,118
2015-04-24,120,212,82,4688,118
2015-04-25,91,224,79,4667,100
2015-04-26,86,223,87,4674,80
2015-04-27,106,214,115,4630,159
2015-04-28,115,217,112,4619,123
2015-04-29,139,258,98,4599,118
2015-04-30,99,216,141,4588,152
2015-05-01,110,214,112,4609,91
2015-05-02,86,218,82,4626,65
2015-05-03,88,221,85,4623,88
2015-05-04,127,217,131,4608,146
2015-05-05,119,223,113,4617,104
2015-05-06,134,253,104,4572,149
2015-05-07,107,222,138,4595,115
2015-05-08,99,203,118,4599,114
2015-05-09,90,208,85,4600,84
2015-05-10,96,214,90,4606,84
2015-05-11,112,204,122,4582,146
2015-05-12,93,187,110,4565,127
2015-05-13,111,198,100,4557,108
2015-05-14,113,203,108,4527,138
2015-05-15,160,259,104,4487,144
2015-05-16,123,285,97,4508,76
2015-05-17,82,247,120,4558,70
2015-05-18,105,219,133,4526,165
2015-05-19,88,195,112,4515,123
2015-05-20,100,181,114,4496,133
2015-05-21,115,202,94,4456,134
2015-05-22,131,220,113,4479,90
2015-05-23,83,208,95,4494,80
2015-05-24,84,222,70,4482,82
2015-05-25,79,172,129,4488,123
2015-05-26,107,190,89,4419,158
2015-05-27,93,179,104,4383,140
2015-05-28,101,176,104,4321,166
2015-05-29,96,185,87,4307,101
2015-05-30,92,207,70,4296,81
2015-05-31,71,198,80,4307,69
2015-06-01,75,150,123,4323,107
2015-06-02,129,194,85,4267,141
2015-06-03,77,162,109,4234,142
2015-06-04,79,149,92,4212,114
2015-06-05,123,188,84,4172,124
2015-06-06,123,245,66,4152,86
2015-06-07,66,210,101,4178,75
2015-06-08,88,175,123,4175,126
2015-06-09,98,188,85,4144,116
2015-06-10,121,201,108,4141,111
2015-06-11,80,162,119,4118,142
2015-06-12,90,160,92,4074,136
2015-06-13,89,198,51,4065,60
2015-06-14,85,207,76,4062,79
2015-06-15,88,189,106,4044,124
2015-06-16,91,162,118,4034,128
2015-06-17,76,150,88,3996,126
2015-06-18,90,154,86,3976,106
2015-06-19,90,172,72,3916,132
2015-06-20,82,187,67,3918,65
2015-06-21,73,196,64,3919,63
2015-06-22,100,191,105,3916,108
2015-06-23,109,201,99,3925,90
2015-06-24,95,195,101,3929,97
2015-06-25,98,185,108,3914,123
2015-06-26,94,184,95,3919,90
2015-06-27,79,189,74,3909,84
2015-06-28,71,175,85,3921,73
2015-06-29,98,171,102,3920,103
2015-06-30,92,165,98,3897,121
2015-07-01,105,188,82,3842,137
2015-07-02,97,175,110,3810,142
2015-07-03,82,157,100,3808,102
2015-07-04,58,160,55,3793,70
2015-07-05,55,154,61,3787,67
2015-07-06,92,159,87,3766,108
2015-07-07,80,148,91,3767,90
2015-07-08,83,159,72,3734,105
2015-07-09,59,138,80,3698,116
2015-07-10,88,152,74,3640,132
2015-07-11,70,164,58,3628,70
2015-07-12,55,156,63,3633,58
2015-07-13,72,136,92,3589,136
2015-07-14,80,146,70,3565,94
2015-07-15,78,158,66,3546,85
2015-07-16,74,149,83,3534,95
2015-07-17,76,155,70,3514,90
2015-07-18,63,157,61,3503,72
2015-07-19,67,170,54,3512,45
2015-07-20,96,177,89,3497,104
2015-07-21,52,147,82,3483,96
2015-07-22,74,131,90,3481,92
2015-07-23,79,144,66,3441,106
2015-07-24,80,149,75,3416,100
2015-07-25,62,153,58,3420,54
2015-07-26,50,149,54,3395,79
2015-07-27,81,152,78,3374,99
2015-07-28,100,172,80,3345,109
2015-07-29,61,126,107,3365,87
2015-07-30,88,141,73,3334,104
2015-07-31,73,136,78,3317,95
2015-08-01,54,140,50,3321,46
2015-08-02,47,133,54,3315,60
2015-08-03,62,131,64,3287,92
2015-08-04,79,147,63,3239,111
2015-08-05,71,146,72,3218,93
2015-08-06,84,165,65,3177,106
2015-08-07,77,128,114,3187,104
2015-08-08,59,133,54,3196,45
2015-08-09,71,156,48,3186,58
2015-08-10,69,144,81,3185,82
2015-08-11,73,128,89,3171,103
2015-08-12,62,128,62,3142,91
2015-08-13,65,129,64,3126,80
2015-08-14,58,95,92,3114,104
2015-08-15,64,129,30,3091,53
2015-08-16,46,125,50,3094,47
2015-08-17,73,139,59,3077,76
2015-08-18,63,126,76,3056,97
2015-08-19,77,134,69,3056,69
2015-08-20,72,129,77,3063,70
2015-08-21,85,145,69,3044,88
2015-08-22,61,160,46,3030,60
2015-08-23,43,144,59,3030,59
2015-08-24,64,126,82,3008,104
2015-08-25,54,100,80,3017,71
2015-08-26,60,105,55,2984,88
2015-08-27,81,131,55,2953,86
2015-08-28,71,122,80,2942,91
2015-08-29,49,123,48,2943,47
2015-08-30,47,124,46,2936,53
2015-08-31,65,117,72,2931,77
2015-09-01,50,96,71,2921,81
2015-09-02,54,100,50,2885,86
2015-09-03,63,117,46,2837,94
2015-09-04,71,127,61,2820,78
2015-09-05,56,136,47,2811,56
2015-09-06,36,118,54,2810,55
2015-09-07,63,119,62,2786,86
2015-09-08,61,109,71,2763,94
2015-09-09,64,108,65,2726,102
2015-09-10,77,126,59,2708,77
2015-09-11,44,100,70,2705,73
2015-09-12,47,110,37,2690,52
2015-09-13,56,129,37,2674,53
2015-09-14,47,98,78,2683,69
2015-09-15,75,125,48,2670,61
2015-09-16,63,122,66,2653,83
2015-09-17,68,119,71,2643,81
2015-09-18,55,110,64,2623,84
2015-09-19,58,129,39,2626,36
2015-09-20,60,143,46,2620,52
2015-09-21,62,134,71,2605,86
2015-09-22,62,117,79,2608,76
2015-09-23,62,116,63,2606,65
2015-09-24,53,102,67,2587,86
2015-09-25,59,102,59,2567,79
2015-09-26,50,113,39,2551,55
2015-09-27,54,124,43,2544,50
2015-09-28,70,130,64,2546,62
2015-09-29,51,109,72,2545,73
2015-09-30,59,101,67,2544,68
2015-10-01,140,197,44,2506,82
2015-10-02,100,194,103,2541,68
2015-10-03,84,203,75,2565,51
2015-10-04,98,225,76,2601,40
2015-10-05,127,224,128,2647,82
2015-10-06,112,197,139,2722,64
2015-10-07,137,229,105,2749,78
2015-10-08,127,231,125,2785,89
2015-10-09,127,252,106,2812,79
2015-10-10,103,259,96,2861,47
2015-10-11,135,303,91,2905,47
2015-10-12,108,233,178,2990,93
2015-10-13,83,198,118,3006,102
2015-10-14,142,240,100,3015,91
2015-10-15,104,219,125,3049,91
2015-10-16,114,180,153,3113,89
2015-10-17,116,235,61,3128,46
2015-10-18,75,215,95,3173,50
2015-10-19,93,199,109,3184,98
2015-10-20,88,179,108,3190,102
2015-10-21,99,178,100,3186,104
2015-10-22,119,206,91,3199,78
2015-10-23,121,211,116,3223,92
2015-10-24,99,231,79,3257,45
2015-10-25,77,209,99,3305,51
2015-10-26,79,164,124,3335,94
2015-10-27,113,188,89,3325,99
2015-10-28,104,198,94,3309,110
2015-10-29,120,227,91,3308,92
2015-10-30,124,233,118,3332,94
2015-10-31,97,249,81,3373,40
2015-11-01,126,284,91,3403,61
2015-11-02,137,275,146,3465,84
2015-11-03,143,273,145,3511,99
2015-11-04,119,256,136,3551,96
2015-11-05,128,268,116,3575,92
2015-11-06,136,268,136,3593,118
2015-11-07,127,282,113,3646,60
2015-11-08,106,268,120,3708,58
2015-11-09,143,242,169,3771,106
2015-11-10,127,255,114,3775,110
2015-11-11,130,252,133,3802,106
2015-11-12,150,231,171,3860,113
2015-11-13,98,216,113,3876,97
2015-11-14,92,221,87,3880,83
2015-11-15,90,218,93,3903,70
2015-11-16,93,178,133,3934,102
2015-11-17,119,199,98,3913,119
2015-11-18,148,246,101,3891,123
2015-11-19,126,252,120,3889,122
2015-11-20,136,272,116,3901,104
2015-11-21,132,286,118,3941,78
2015-11-22,137,305,118,3988,71
2015-11-23,131,287,149,4017,120
2015-11-24,162,313,136,4031,122
2015-11-25,134,261,186,4102,115
2015-11-26,116,250,127,4137,92
2015-11-27,121,249,122,4101,158
2015-11-28,90,255,84,4125,60
2015-11-29,98,243,110,4161,74
2015-11-30,125,236,132,4187,106
2015-12-01,181,307,110,4164,133
2015-12-02,207,328,186,4235,115
2015-12-03,130,279,179,4277,137
2015-12-04,170,320,129,4263,143
2015-12-05,116,306,130,4326,67
2015-12-06,146,341,111,4355,82
2015-12-07,157,323,175,4430,100
2015-12-08,122,255,190,4491,129
2015-12-09,184,309,130,4489,132
2015-12-10,146,301,154,4509,134
2015-12-11,148,254,195,4560,144
2015-12-12,116,290,80,4568,72
2015-12-13,123,298,115,4608,75
2015-12-14,171,313,156,4659,105
2015-12-15,156,316,153,4698,114
2015-12-16,168,292,192,4762,128
2015-12-17,169,312,149,4749,162
2015-12-18,195,362,145,4746,148
2015-12-19,129,367,124,4782,88
2015-12-20,109,314,162,4841,103
2015-12-21,188,341,161,4866,136
2015-12-22,152,296,197,4951,112
2015-12-23,189,312,173,4945,179
2015-12-24,170,318,164,4980,129
2015-12-25,157,298,177,5042,115
2015-12-26,143,335,106,5053,95
2015-12-27,182,395,122,5090,85
2015-12-28,219,393,221,5136,175
2015-12-29,162,296,259,5252,143
2015-12-30,164,307,153,5274,131
2015-12-31,188,348,147,5263,158
2016-01-01,166,298,216,5318,161
2016-01-02,169,348,119,5348,89
2016-01-03,160,395,113,5380,81
2016-01-04,198,390,203,5384,199
2016-01-05,166,370,186,5388,182
2016-01-06,149,303,216,5461,143
2016-01-07,138,295,146,5420,187
2016-01-08,159,256,198,5437,181
2016-01-09,150,318,88,5425,100
2016-01-10,153,350,121,5460,86
2016-01-11,252,433,169,5428,201
2016-01-12,223,410,246,5558,116
2016-01-13,163,334,239,5618,179
2016-01-14,199,345,188,5657,149
2016-01-15,177,310,212,5666,203
2016-01-16,154,323,141,5706,101
2016-01-17,165,353,135,5726,115
2016-01-18,207,310,250,5829,147
2016-01-19,179,345,144,5802,171
2016-01-20,221,377,189,5830,161
2016-01-21,159,329,207,5878,159
2016-01-22,189,310,208,5924,162
2016-01-23,237,444,103,5945,82
2016-01-24,166,418,192,6060,77
2016-01-25,234,442,210,6074,196
2016-01-26,191,409,224,6052,246
2016-01-27,206,380,235,6119,168
2016-01-28,187,390,177,6157,139
2016-01-29,184,387,187,6172,172
2016-01-30,143,363,167,6226,113
2016-01-31,171,385,149,6247,128
2016-02-01,185,359,211,6300,158
2016-02-02,232,422,169,6289,180
2016-02-03,247,454,215,6330,174
2016-02-04,222,436,240,6412,158
2016-02-05,201,436,201,6432,181
2016-02-06,191,430,197,6514,115
2016-02-07,170,427,173,6568,119
2016-02-08,242,431,238,6611,195
2016-02-09,159,360,230,6653,188
2016-02-10,200,391,169,6645,177
2016-02-11,156,315,232,6672,205
2016-02-12,168,330,153,6598,227
2016-02-13,219,427,122,6595,125
2016-02-14,204,458,173,6635,133
2016-02-15,188,355,291,6712,214
2016-02-16,167,332,190,6703,199
2016-02-17,134,268,198,6730,171
2016-02-18,193,304,157,6675,212
2016-02-19,302,474,132,6606,201
2016-02-20,190,484,180,6679,107
2016-02-21,164,466,182,6776,85
2016-02-22,225,444,247,6801,222
2016-02-23,166,382,228,6814,215
2016-02-24,201,386,197,6847,164
2016-02-25,213,409,190,6851,186
2016-02-26,207,347,269,6951,169
2016-02-27,201,438,110,6954,107
2016-02-28,188,468,158,6968,144
2016-02-29,232,426,274,7064,178
2016-03-01,197,368,255,7148,171
2016-03-02,250,427,191,7153,186
2016-03-03,279,467,239,7204,188
2016-03-04,189,405,251,7252,203
2016-03-05,162,423,144,7279,117
2016-03-06,227,486,164,7291,152
2016-03-07,212,463,235,7356,170
2016-03-08,269,511,221,7395,182
2016-03-09,204,467,248,7448,195
2016-03-10,272,524,215,7398,265
2016-03-11,223,455,292,7444,246
2016-03-12,193,451,197,7513,128
2016-03-13,235,495,191,7578,126
2016-03-14,207,386,316,7659,235
2016-03-15,189,364,211,7666,204
2016-03-16,204,378,190,7638,218
2016-03-17,234,419,193,7631,200
2016-03-18,172,379,212,7615,228
2016-03-19,204,445,138,7603,150
2016-03-20,171,450,166,7637,132
2016-03-21,259,505,204,7589,252
2016-03-22,152,334,323,7731,181
2016-03-23,194,348,180,7712,199
2016-03-24,169,331,186,7691,207
2016-03-25,193,360,164,7611,244
2016-03-26,192,401,151,7636,126
2016-03-27,180,435,146,7665,117
2016-03-28,210,380,265,7710,220
2016-03-29,213,408,185,7666,229
2016-03-30,225,446,187,7632,221
2016-03-31,187,386,247,7645,234
2016-04-01,235,427,194,7586,253
2016-04-02,198,494,131,7613,104
2016-04-03,190,503,181,7700,94
2016-04-04,230,448,285,7814,171
2016-04-05,221,436,233,7833,214
2016-04-06,287,500,223,7824,232
2016-04-07,209,397,312,7889,247
2016-04-08,202,383,216,7806,299
2016-04-09,160,396,147,7819,134
2016-04-10,154,398,152,7827,144
2016-04-11,175,369,204,7836,195
2016-04-12,185,364,190,7834,192
2016-04-13,209,400,173,7806,201
2016-04-14,222,428,194,7773,227
2016-04-15,213,396,245,7784,234
2016-04-16,160,415,141,7773,152
2016-04-17,206,467,154,7766,161
2016-04-18,236,468,235,7810,191
2016-04-19,206,430,244,7823,231
2016-04-20,192,402,220,7812,231
2016-04-21,229,417,214,7786,240
2016-04-22,217,396,238,7792,232
2016-04-23,144,380,160,7813,139
2016-04-24,178,421,137,7828,122
2016-04-25,220,399,242,7816,254
2016-04-26,185,361,223,7786,253
2016-04-27,217,354,224,7785,225
2016-04-28,170,350,174,7704,255
2016-04-29,258,440,168,7613,259
2016-04-30,217,488,169,7643,139
2016-05-01,156,457,187,7726,104
2016-05-02,202,408,251,7715,262
2016-05-03,133,315,226,7733,208
2016-05-04,161,291,185,7690,228
2016-05-05,183,314,160,7617,233
2016-05-06,163,310,167,7585,199
2016-05-07,181,388,103,7573,115
2016-05-08,219,496,111,7576,108
2016-05-09,160,406,250,7583,243
2016-05-10,168,374,200,7490,293
2016-05-11,198,363,209,7464,235
2016-05-12,243,411,195,7446,213
2016-05-13,159,334,236,7467,215
2016-05-14,168,368,134,7459,142
2016-05-15,213,410,171,7500,130
2016-05-16,149,342,217,7487,230
2016-05-17,158,298,202,7459,230
2016-05-18,179,316,161,7380,240
2016-05-19,177,346,147,7311,216
2016-05-20,216,369,193,7304,200
2016-05-21,168,391,146,7318,132
2016-05-22,124,371,144,7339,123
2016-05-23,206,401,176,7334,181
2016-05-24,175,354,222,7286,270
2016-05-25,231,407,178,7318,146
2016-05-26,174,354,227,7329,216
2016-05-27,174,312,216,7294,251
2016-05-28,176,369,119,7288,125
2016-05-29,182,400,151,7304,135
2016-05-30,204,384,220,7299,225
2016-05-31,148,334,198,7298,199
2016-06-01,177,345,166,7213,251
2016-06-02,139,290,194,7199,208
2016-06-03,169,325,134,7143,190
2016-06-04,112,323,114,7098,159
2016-06-05,148,361,110,7090,118
2016-06-06,144,306,199,7100,189
2016-06-07,134,260,180,7038,242
2016-06-08,181,305,136,6970,204
2016-06-09,169,271,203,6964,209
2016-06-10,148,289,130,6891,203
2016-06-11,172,352,109,6902,98
2016-06-12,129,349,132,6914,120
2016-06-13,164,332,181,6907,188
2016-06-14,170,306,196,6894,209
2016-06-15,148,276,178,6899,173
2016-06-16,175,318,133,6844,188
2016-06-17,150,277,191,6861,174
2016-06-18,130,303,104,6838,127
2016-06-19,170,366,107,6823,122
2016-06-20,139,320,185,6797,211
2016-06-21,113,256,177,6797,177
2016-06-22,207,330,133,6721,209
2016-06-23,239,389,180,6692,209
2016-06-24,153,358,184,6679,197
2016-06-25,103,324,137,6663,153
2016-06-26,132,337,119,6636,146
2016-06-27,156,280,213,6662,187
2016-06-28,158,292,146,6608,200
2016-06-29,138,283,147,6531,224
2016-06-30,178,304,157,6476,212
2016-07-01,145,297,152,6440,188
2016-07-02,91,260,128,6442,126
2016-07-03,127,288,99,6435,106
2016-07-04,183,337,134,6389,180
2016-07-05,138,242,233,6434,188
2016-07-06,128,245,125,6354,205
2016-07-07,131,237,139,6321,172
2016-07-08,147,256,128,6271,178
2016-07-09,88,243,101,6269,103
2016-07-10,117,268,92,6238,123
2016-07-11,127,288,107,6165,180
2016-07-12,177,315,150,6174,141
2016-07-13,131,273,173,6123,224
2016-07-14,173,315,131,6062,192
2016-07-15,114,239,190,6052,200
2016-07-16,125,268,96,6081,67
2016-07-17,120,290,98,6072,107
2016-07-18,118,259,149,6040,181
2016-07-19,138,253,144,6012,172
2016-07-20,161,276,138,6009,141
2016-07-21,128,256,148,5955,202
2016-07-22,104,204,156,5971,140
2016-07-23,114,254,64,5923,112
2016-07-24,100,259,95,5921,97
2016-07-25,128,232,155,5944,132
2016-07-26,133,246,119,5904,159
2016-07-27,104,212,138,5828,214
2016-07-28,105,198,119,5772,175
2016-07-29,144,230,112,5721,163
2016-07-30,105,238,97,5724,94
2016-07-31,77,218,97,5701,120
2016-08-01,127,231,114,5639,176
2016-08-02,118,221,128,5566,201
2016-08-03,102,185,138,5547,157
2016-08-04,93,183,95,5476,166
2016-08-05,128,204,107,5440,143
2016-08-06,101,233,72,5435,77
2016-08-07,138,267,104,5448,91
2016-08-08,120,257,130,5427,151
2016-08-09,120,222,155,5435,147
2016-08-10,110,221,111,5394,152
2016-08-11,128,219,130,5363,161
2016-08-12,124,228,115,5343,135
2016-08-13,116,256,88,5353,78
2016-08-14,89,259,86,5359,80
2016-08-15,106,235,130,5297,192
2016-08-16,105,230,110,5249,158
2016-08-17,127,245,112,5182,179
2016-08-18,142,268,119,5151,150
2016-08-19,106,230,144,5134,161
2016-08-20,90,227,93,5147,80
2016-08-21,101,234,94,5154,87
2016-08-22,109,223,120,5144,130
2016-08-23,131,242,112,5110,146
2016-08-24,81,192,131,5085,156
2016-08-25,100,177,115,5042,158
2016-08-26,101,183,95,5008,129
2016-08-27,68,180,71,4958,121
2016-08-28,83,195,68,4951,75
2016-08-29,99,204,90,4924,117
2016-08-30,110,215,99,4894,129
2016-08-31,134,239,110,4892,112
2016-09-01,101,185,155,4890,157
2016-09-02,90,166,109,4862,137
2016-09-03,88,193,61,4828,95
2016-09-04,104,224,73,4828,73
2016-09-05,90,179,135,4833,130
2016-09-06,91,179,91,4747,177
2016-09-07,114,188,105,4727,125
2016-09-08,101,200,89,4692,124
2016-09-09,116,194,122,4699,115
2016-09-10,89,210,73,4692,80
2016-09-11,99,238,71,4687,76
2016-09-12,90,208,120,4694,113
2016-09-13,105,197,116,4703,107
2016-09-14,102,180,119,4702,120
2016-09-15,87,165,102,4654,150
2016-09-16,83,156,92,4617,129
2016-09-17,99,191,64,4601,80
2016-09-18,84,202,73,4576,98
2016-09-19,90,172,120,4579,117
2016-09-20,103,196,79,4513,145
2016-09-21,124,215,105,4508,110
2016-09-22,74,159,130,4515,123
2016-09-23,84,165,78,4475,118
2016-09-24,77,178,64,4452,87
2016-09-25,111,214,75,4452,75
2016-09-26,109,216,107,4400,159
2016-09-27,118,204,130,4426,104
2016-09-28,88,169,123,4433,116
2016-09-29,89,192,66,4372,127
2016-09-30,112,208,96,4323,145
2016-10-01,66,190,84,4337,70
2016-10-02,71,189,72,4341,68
2016-10-03,75,159,105,4325,121
2016-10-04,80,151,88,4327,86
2016-10-05,79,126,104,4309,122
2016-10-06,87,147,66,4257,118
2016-10-07,87,166,68,4223,102
2016-10-08,51,141,76,4221,78
2016-10-09,47,131,57,4205,73
2016-10-10,90,156,65,4129,141
2016-10-11,92,160,88,4127,90
2016-10-12,66,127,99,4118,108
2016-10-13,58,125,60,4075,103
2016-10-14,78,136,67,3992,150
2016-10-15,75,158,53,3974,71
2016-10-16,86,179,65,3969,70
2016-10-17,83,161,101,3948,122
2016-10-18,73,151,83,3888,143
2016-10-19,67,131,87,3873,102
2016-10-20,77,138,70,3808,135
2016-10-21,74,128,84,3775,117
2016-10-22,56,140,44,3771,48
2016-10-23,89,183,46,3771,46
2016-10-24,101,180,104,3771,104
2016-10-25,92,148,124,3766,129
2016-10-26,67,132,83,3737,112
2016-10-27,88,150,70,3685,122
2016-10-28,85,164,71,3645,111
2016-10-29,70,170,64,3635,74
2016-10-30,79,174,75,3653,57
2016-10-31,85,165,94,3661,86
2016-11-01,102,186,81,3646,96
2016-11-02,100,184,102,3631,117
2016-11-03,96,182,98,3647,82
2016-11-04,70,176,76,3628,95
2016-11-05,78,188,66,3629,65
2016-11-06,71,186,73,3639,63
2016-11-07,75,144,117,3668,88
2016-11-08,117,186,75,3626,117
